"region","2020-03-01 12:00","2020-03-02 12:00","2020-03-04 18:00","2020-03-05 14:00","2020-03-06 15:00","2020-03-06 17:30","2020-03-07 14:00","2020-03-07 18:00","2020-03-08 11:00","2020-03-09 11:15","2020-03-10 11:15","2020-03-11 11:15","2020-03-11 16:00","2020-03-12 16:00","2020-03-13 15:00","2020-03-14 12:30","2020-03-14 20:00","2020-03-15 15:00","2020-03-16 15:00","2020-03-17 11:00","2020-03-18 15:05","2020-03-19 13:20","2020-03-20 15:25","2020-03-21 16:14","2020-03-22 14:15","2020-03-23 15:03","2020-03-24 14:49","2020-03-25 13:46","2020-03-26 13:49","2020-03-27 14:19"
"genesee",,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","1","2","4","6"
"greene",,,,,,,,,,,,,,,,,,"2","2","2","2","2","2","2","2","4","4","4","5","6"
"hamilton",,,,,,,,,,,,,,,,,,,,,"1","2","2","2","2","2","2","2","2","2"
"herkimer",,,,,,,,,,,,,,"1","1","1","1","1","1","1","1","1","2","3","4","4","4","5","7","9"
"jefferson",,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","2","2","2","3","3"
"kings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"lewis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"livingston",,,,,,,,,,,,,,,,,,,,,,,"1","2","2","3","3","3","3","3"
"madison",,,,,,,,,,,,,,,,,,,,,,,,,"1","4","4","7","9","17"
"monroe",,,,,,,,,,,,,,"1","1","2","2","2","10","10","14","27","32","42","57","76","96","118","139","160"
"montgomery",,,,,,,,,,,,,,,,,,"1","1","1","2","2","2","3","3","3","3","4","5","5"
"nassau",,,,,,"3","4","4","5","17","19","28","28","41","51","68","79","98","109","131","183","372","754","1234","1900","2442","2869","3285","3914","4657"
"new york",,"1","1","3","4","4","11","11","12","19","36","52","52","95","154","213","269","329","463","644","1339","2469","4408","6211","9045","12305","14904","17856","21393","25398"
"niagara",,,,,,,,,,,,,,,,,,,,,,"1","3","4","6","10","10","12","14","23"
"oneida",,,,,,,,,,,,,,,,,,,,,,"2","2","4","5","7","7","9","13","13"
"onondaga",,,,,,,,,,,,,,,,,,,"1","2","2","5","8","17","29","52","52","65","83","115"
"ontario",,,,,,,,,,,,,,,,,,,"1","1","1","1","3","4","6","6","6","9","11","14"
"orange",,,,,,,,,,,,,,"1","3","6","6","6","11","15","32","51","84","163","247","389","498","638","751","910"
"orleans",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","3"
"oswego",,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","2","4","4"
"otsego",,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","2","3","5"
"putnam",,,,,,,,,,,,,,,,,,"2","2","2","2","5","7","22","37","45","45","84","94","11"
"queens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rensselaer",,,,,,,,,,,,,,,,,,,,"1","4","6","8","20","26","29","29","31","32","35"
"richmond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rockland",,,,,,,,,"2","4","6","6","6","7","9","10","12","13","16","22","30","53","101","262","455","592","671","968","1197","1457"
"saratoga",,,,,,,,"2","2","2","2","2","2","3","3","3","3","3","5","9","14","18","24","35","41","53","53","64","73","82"
"schenectady",,,,,,,,,,,,,,,"1","1","1","2","4","5","14","18","21","32","39","44","44","55","62","66"
"schoharie",,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","1","2","2","3"
"schuyler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"seneca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"st lawrence",,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","2","3"
"steuben",,,,,,,,,,,,,,,,,,,,,,,,"2","3","4","4","8","11","12"
"suffolk",,,,,,,,"1","1","1","1","6","6","20","28","33","41","47","63","84","116","178","371","662","1034","1458","1880","2260","2735","3385"
"sullivan",,,,,,,,,,,,,,,,,,,,"1","1","3","8","12","16","23","23","39","53","64"
"tioga",,,,,,,,,,,,,,,,"1","1","1","1","1","1","1","1","1","1","1","1","1","2","2"
"tompkins",,,,,,,,,,,,,,,,"1","1","1","1","2","3","6","7","11","13","15","15","16","22","26"
"ulster",,,,,,,,"1","1","1","1","1","1","4","5","5","5","5","7","8","9","10","12","18","26","35","35","65","78","98"
"warren",,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","2","2","2","2","8"
"washington",,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","2","3","4","4","6"
"wayne",,,,,,,,,,,,,,,,,,,,,,"1","1","3","3","6","6","7","8","11"
"westchester",,,"10","19","29","37","61","70","82","98","108","121","121","148","158","172","178","196","220","380","538","798","1091","1387","1873","2894","3891","4691","5944","7187"
"wyoming",,,,,,,,,,,,,,,,,,,,"1","1","2","2","2","2","4","4","4","7","7"
"yates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
